2025/02/14 12:55:49 [error] 10716#9336: *2468 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-content/uploads/2025/02/socialmediasharing-1.jpg HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local"
2025/02/27 10:24:07 [error] 29616#4848: *2973 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /?wp_scrape_key=476f9bf37153886749262a67a686d944&wp_scrape_nonce=1240424934 HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local"
2025/03/17 12:11:49 [error] 10152#19728: *7144 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/types?context=view&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php"
2025/03/21 11:58:11 [error] 15948#11804: *20263 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "HEAD /wp-admin/admin.php?page=w3tc_dashboard&w3tc_note=flush_all HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/admin.php?page=w3tc_dashboard&w3tc_note=flush_all"
2025/03/21 11:58:11 [error] 15948#11804: *20261 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=w3tc_ajax&_wpnonce=00bd9de91b&w3tc_action=pagespeed_widgetdata HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/admin.php?page=w3tc_dashboard&w3tc_note=flush_all"
2025/03/21 11:58:11 [error] 15948#11804: *20261 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/admin-ajax.php?action=w3tc_ajax&_wpnonce=00bd9de91b&w3tc_action=pagespeed_widgetdata HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/admin.php?page=w3tc_dashboard&w3tc_note=flush_all"
2025/03/21 11:58:11 [error] 15948#11804: *20263 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "HEAD /wp-admin/admin.php?page=w3tc_dashboard&w3tc_note=flush_all HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/admin.php?page=w3tc_dashboard&w3tc_note=flush_all"
2025/03/21 11:58:13 [error] 15948#11804: *20266 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "GET / HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/admin.php?page=w3tc_dashboard&w3tc_note=flush_all"
2025/03/21 11:58:13 [error] 15948#11804: *20267 no live upstreams while connecting to upstream, client: 127.0.0.1, server: , request: "HEAD / HTTP/1.1", upstream: "fastcgi://php", host: "jcubsb.local", referrer: "http://jcubsb.local/"
2025/03/24 10:51:23 [error] 1636#2952: *12088 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/pages/290?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage&canvas=edit"
2025/03/24 10:51:23 [error] 1636#2952: *12092 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-admin/site-editor.php?_wp-find-template=true&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10014", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage"
2025/03/24 10:51:24 [error] 1636#2952: *12090 WSARecv() failed (10054: An existing connection was forcibly closed by the remote host) while reading response header from upstream, client: 127.0.0.1, server: , request: "GET /wp-json/wp/v2/users/1?context=edit&_locale=user HTTP/1.1", upstream: "fastcgi://127.0.0.1:10015", host: "jcubsb.local", referrer: "http://jcubsb.local/wp-admin/site-editor.php?postType=wp_template&postId=my-child-theme%2F%2Fpage"
